H.R. 3408 (112th), Alaskan Energy for American Jobs Act
H.R. 6672 (112th), Pandemic and All-Hazards Preparedness Reauthorization Act of 2012
H.R. 459 (112th), Federal Reserve Transparency Act of 2012
H.R. 6684 (112th), Spending Reduction Act of 2012
H.R. 2471 (112th), Electronic Communications Privacy Act Amendments Act of 2012
H.R. 6504 (112th), Small Business Investment Company Modernization Act of 2012
H.R. 5817 (112th), Eliminate Privacy Notice Confusion Act
S. 3254 (112th), National Defense Authorization Act for Fiscal Year 2013
S. 1947 (112th), Animal Fighting Spectator Prohibition Act of 2011
H.R. 6429 (112th), STEM Jobs Act of 2012
H.R. 3409 (112th), Stop the War on Coal Act of 2012
H.R. 2903 (112th), FEMA Reauthorization Act of 2012
H.R. 733 (112th), Recalcitrant Cancer Research Act of 2012
H.R. 2842 (112th), Bureau of Reclamation Small Conduit Hydropower Development and Rural Jobs Act of 2012
H.R. 6213 (112th), No More Solyndras Act
H.R. 5865 (112th), American Manufacturing Competitiveness Act of 2012
H.R. 4264 (112th), FHA Emergency Fi
H.Con.Res. 127 (112th), Expressing the Sense of Congress Regarding Actions to Preserve and Advance the Multistakeholder Governance Model Under Which the Internet Has Thrived.
H.R. 6233 (112th), Agricultural Disaster Assistance Act of 2012
S. 3240 (112th), Agriculture Reform, Food, and Jobs Act of 2012
H.R. 6169 (112th), Pathway to Job Creation Through a Simpler, Fairer Tax Code Act of 2012
H.R. 4273 (112th), Resolving Environmental and Grid Reliability Conflicts Act of 2012
H.R. 4078 (112th), Red Tape Reduction and Small Business Job Creation Act
H.R. 6082 (112th), Congressional Replacement of President Obama's Energy-Restricting and Job-Limiting Offshore Drilling Plan
S. 3412 (112th), Middle Class Tax Cut Act
H.R. 4157 (112th), Preserving America's Family Farms Act
H.R. 4402 (112th), National Strategic and Critical Minerals Production Act of 2012
H.R. 6079 (112th), Repeal of Obamacare Act
H.R. 5892 (112th), Hydropower Regulatory Efficiency Act of 2012
H.R. 4480 (112th), Domestic Energy and Jobs Act
S. 2239 (112th), Veteran Skills to Jobs Act
H.R. 4251 (112th), Securing Maritime Activities Through Risk-Based Targeting for Port Security Act
H.Res. 711 (112th), Recommending That the House of Representatives Find Eric H. Holder, Jr., Attorney General, U.S. Department of Justice, in Contempt of Congress for Refusal to Comply with a Subpoena Duly Issued by the Committee on Oversight and Government Reform.
H.R. 2578 (112th), Conservation and Economic Growth Act
H.R. 436 (112th), Health Care Cost Reduction Act of 2012
H.R. 1299 (112th), Secure Border Act of 2012
H.R. 4041 (112th), Export Promotion Reform Act
H.R. 5651 (112th), Food and Drug Administration Reform Act of 2012
H.R. 4970 (112th), Violence Against Women Reauthorization Act of 2012
H.R. 3534 (112th), Security in Bonding Act of 2012
